"ObjNAME","ObjTYPE","ObjREFERENCE","ObjREFERENCEtype"
"=1073763642/176160","SCFITT","/=1073763642/176151/B01","SCBRAN"
"=1073763642/176160","SCFITT","/ASBH-1.5""-WF-031055-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031055-AK1/B01","SCBRAN","=1073763642/176160","SCFITT"
"=1073763642/77593","SCFITT","/ASBH-1.5""-WF-031056-AK1/B02","SCBRAN"
"=1073763642/77593","SCFITT","/ASBH-1.5""-WF-031056-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031056-AK1/B01","SCBRAN","=1073763642/77593","SCFITT"
"=1073763642/77595","SCFITT","/ASBH-1.5""-WF-031056-AK1/B03","SCBRAN"
"=1073763642/77595","SCFITT","/ASBH-1.5""-WF-031056-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031056-AK1/B01","SCBRAN","=1073763642/77595","SCFITT"
"=1073763642/77597","SCFITT","/ASBH-1.5""-WF-031056-AK1/B04","SCBRAN"
"=1073763642/77597","SCFITT","/ASBH-1.5""-WF-031056-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031056-AK1/B01","SCBRAN","=1073763642/77597","SCFITT"
"=1073780026/13220","SCFITT","/ASBH-1""-WF-031019-AK1/B01","SCBRAN"
"=1073780026/13220","SCFITT","/ASBH-2""-WF-030046-AK1/B01","SCBRAN"
"/ASBH-2""-WF-030046-AK1/B01","SCBRAN","=1073780026/13220","SCFITT"
"=1073780026/13187","SCFITT","/ASBH-1""-WF-031018-AK1/B01","SCBRAN"
"=1073780026/13187","SCFITT","/ASBH-2""-WF-030046-AK1/B01","SCBRAN"
"/ASBH-2""-WF-030046-AK1/B01","SCBRAN","=1073780026/13187","SCFITT"
"=1073763642/77850","SCFITT","/ASBH-3""-WF-031020-AK1/B01","SCBRAN"
"=1073763642/77850","SCFITT","/ASBH-6""-WF-030044-AK1/B01","SCBRAN"
"/ASBH-6""-WF-030044-AK1/B01","SCBRAN","=1073763642/77850","SCFITT"
"=1073763642/77852","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"=1073763642/77852","SCFITT","/ASBH-6""-WF-030044-AK1/B01","SCBRAN"
"/ASBH-6""-WF-030044-AK1/B01","SCBRAN","=1073763642/77852","SCFITT"
"=1073763642/77854","SCFITT","/ASBH-3""-WF-031022-AK1/B01","SCBRAN"
"=1073763642/77854","SCFITT","/ASBH-6""-WF-030044-AK1/B01","SCBRAN"
"/ASBH-6""-WF-030044-AK1/B01","SCBRAN","=1073763642/77854","SCFITT"
"=1073763642/77880","SCFITT","/ASBH-1.5""-WF-031039-AK1/B02","SCBRAN"
"=1073763642/77880","SCFITT","/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN","=1073763642/77880","SCFITT"
"=1073763642/77882","SCFITT","/ASBH-1.5""-WF-031039-AK1/B03","SCBRAN"
"=1073763642/77882","SCFITT","/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN","=1073763642/77882","SCFITT"
"=1073763642/77884","SCFITT","/ASBH-1.5""-WF-031039-AK1/B04","SCBRAN"
"=1073763642/77884","SCFITT","/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN","=1073763642/77884","SCFITT"
"=1073763642/77913","SCFITT","/ASBH-1.5""-WF-031038-AK1/B02","SCBRAN"
"=1073763642/77913","SCFITT","/ASBH-1.5""-WF-031038-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031038-AK1/B01","SCBRAN","=1073763642/77913","SCFITT"
"=1073763642/77915","SCFITT","/ASBH-1.5""-WF-031038-AK1/B03","SCBRAN"
"=1073763642/77915","SCFITT","/ASBH-1.5""-WF-031038-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031038-AK1/B01","SCBRAN","=1073763642/77915","SCFITT"
"=1073763642/77943","SCFITT","/ASBH-1.5""-WF-031037-AK1/B02","SCBRAN"
"=1073763642/77943","SCFITT","/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN","=1073763642/77943","SCFITT"
"=1073763642/77945","SCFITT","/ASBH-1.5""-WF-031037-AK1/B03","SCBRAN"
"=1073763642/77945","SCFITT","/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN","=1073763642/77945","SCFITT"
"=1073763642/77947","SCFITT","/ASBH-1.5""-WF-031037-AK1/B04","SCBRAN"
"=1073763642/77947","SCFITT","/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN","=1073763642/77947","SCFITT"
"=1073763642/77923","SCFITT","/ASBH-1.5""-WF-031036-AK1/B02","SCBRAN"
"=1073763642/77923","SCFITT","/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN","=1073763642/77923","SCFITT"
"=1073763642/77925","SCFITT","/ASBH-1.5""-WF-031036-AK1/B03","SCBRAN"
"=1073763642/77925","SCFITT","/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN","=1073763642/77925","SCFITT"
"=1073763642/77927","SCFITT","/ASBH-1.5""-WF-031036-AK1/B04","SCBRAN"
"=1073763642/77927","SCFITT","/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN","=1073763642/77927","SCFITT"
"=1073763642/77840","SCFITT","/ASBH-1.5""-WF-031035-AK1/B02","SCBRAN"
"=1073763642/77840","SCFITT","/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN","=1073763642/77840","SCFITT"
