"ObjNAME","ObjTYPE","ObjREFERENCE"
"/ASBHA-XCV-380401","SCINST","/ASBH-16""-OCS-380404-BD2",""
"/ASBHA-XCV-380402","SCINST","/ASBH-16""-OCS-380404-BD2",""
"/ASBHA-XCV-380508","SCINST","/ASBH-10""-OCS-340502-BD1",""
"/ASBHA-PSV-380505","SCINST","/ASBH-3""-OCS-380502-BD1",""
"/ASBHA-ESDV-380551","SCINST","/ASBH-12""-OCS-380504-BD2",""
"/ASBHA-ESDV-380552","SCINST","/ASBH-12""-OCS-380504-BD2",""
"/ASBHA-XCV-380501","SCINST","/ASBH-12""-OCS-380504-BD2",""
"/ASBHA-XCV-380502","SCINST","/ASBH-12""-OCS-380504-BD2",""
"/ASBHA-ESDV-380651","SCINST","/ASBH-10""-OCS-380604-BD2",""
"/ASBHA-ESDV-380652","SCINST","/ASBH-10""-OCS-380604-BD2",""
"/ASBHA-XCV-380601","SCINST","/ASBH-10""-OCS-380604-BD2",""
"/ASBHA-XCV-380602","SCINST","/ASBH-10""-OCS-380604-BD2",""
"/ASBHA-XCV-380608","SCINST","/ASBH-8""-OCS-340602-BD1",""
"/ASBHA-PSV-380605","SCINST","/ASBH-3""-OCS-380602-BD1",""
"/ASBHA-XCV-383508","SCINST","/ASBH-8""-OCS-343502-BD1",""
"/ASBHA-PSV-383505","SCINST","/ASBH-3""-OCS-383502-BD1",""
"/ASBHA-ESDV-383551","SCINST","/ASBH-8""-OCS-383504-BD2",""
"/ASBHA-ESDV-383552","SCINST","/ASBH-8""-OCS-383504-BD2",""
"/ASBHA-XCV-383501","SCINST","/ASBH-8""-OCS-383504-BD2",""
"/ASBHA-XCV-383502","SCINST","/ASBH-8""-OCS-383504-BD2",""
"/ASBHA-ESDV-340029","SCINST","/ASBH-26""-OCS-340039-BD1",""
"/ASBHA-SDV-340021","SCINST","/ASBH-16""-OCS-340040-BD1",""
"/ASBHA-FCV-340041","SCINST","/ASBH-16""-OCS-340040-BD1",""
"/ASBHA-FE-340041","SCINST","/ASBH-16""-OCS-340040-BD1",""
"/ASBHA-ESDV-340026","SCINST","/ASBH-16""-OCS-340040-BD1",""
"/ASBHA-PSV-340001A","SCINST","/ASBH-14""-OCS-340042-BD1",""
"/ASBHA-PSV-340001B","SCINST","/ASBH-14""-OCS-340046-BD1",""
"/ASBHA-SDV-340011","SCINST","/ASBH-2""-GPS-340139-AX2",""
"/ASBHA-LCV-340045","SCINST","/ASBH-2""-GPS-340139-AX2",""
"/ASBHA-ESDV-340022","SCINST","/ASBH-20""-GPS-340135-AX2",""
"/ASBHA-BDV-341202","SCINST","/ASBH-2""-GPS-340134-AX2",""
"/ASBHA-RO-341203","SCINST","/ASBH-2""-GPS-340134-AX2",""
"/ASBHA-PCV-440011","SCINST","/ASBH-10""-GPS-440003-ED1-P",""
"/ASBHA-FE-440001","SCINST","/ASBH-10""-GPS-440003-ED1-P",""
"/ASBHA-ESDV-440021","SCINST","/ASBH-10""-GPS-440003-ED1-P",""
"/ASBHA-XCV-381908","SCINST","/ASBH-6""-GPS-441902-ED1-P",""
"/ASBHA-FE-442001","SCINST","/ASBH-8""-GPS-442002-ED1-P",""
"/ASBHA-XCV-382008","SCINST","/ASBH-8""-GPS-442002-ED1-P",""
"/ASBHA-FE-442141","SCINST","/ASBH-8""-GPS-442102-ED1-P",""
"/ASBHA-XCV-382108","SCINST","/ASBH-8""-GPS-442102-ED1-P",""
"/ASBHA-FE-443901","SCINST","/ASBH-6""-GPS-443902-ED1-P",""
"/ASBHA-XCV-383908","SCINST","/ASBH-6""-GPS-443902-ED1-P",""
"/ASBHA-BDV-442101","SCINST","/ASBH-3""-GPS-440020-FS1",""
"/ASBHA-RO-441001","SCINST","/ASBH-3""-GPS-440020-FS1",""
"/ASBHA-FE-441701","SCINST","/ASBH-6""-GPS-441702-ED1-P",""
"/ASBHA-XCV-381708","SCINST","/ASBH-6""-GPS-441702-ED1-P",""
"/ASBHA--44","SCINST","/ASBH-6""-GPS-441802-ED1-P",""
"/ASBHA-XCV-381808","SCINST","/ASBH-6""-GPS-441802-ED1-P",""
"/ASBHA-PSV-570101A","SCINST","/ASBH-2""-GFS-570006-BX1",""
"/ASBHA-PSV-570101B","SCINST","/ASBH-2""-GFS-570024-BX1",""
"/ASBHA-SDV-570022","SCINST","/ASBH-3""-GFS-570005-ED1-T",""
"/ASBHA-SDV-570023","SCINST","/ASBH-3""-GFS-570028-FD1-T",""
"/ASBHA-ESDV-571001","SCINST","/ASBH-2""-GFS-570007-BX1-T",""
"/ASBHA--57","SCINST","/ASBH-2""-GFS-570007-BX1-T",""
"/ASBHA-ESDV-571002","SCINST","/ASBH-2""-GFS-570008-BX1-T",""
"/ASBHA-PCV-570024B","SCINST","/ASBH-4""-GFS-574796-BX1-T",""
"/ASBHA-PSV-381707","SCINST","/ASBH-3""-GPS-381702-ED1-P",""
"/ASBHA-XCV-381702","SCINST","/ASBH-6""-GPS-381704-ED3-P",""
"/ASBHA-XCV-381701","SCINST","/ASBH-6""-GPS-381704-ED3-P",""
"/ASBHA-ESDV-381752","SCINST","/ASBH-6""-GPS-381704-ED3-P",""
"/ASBHA-ESDV-381751","SCINST","/ASBH-6""-GPS-381704-ED3-P",""
"/ASBHA-ESDV-381753","SCINST","/ASBH-2""-GPS-381707-ED3-P",""
"/ASBHA-RO-381701","SCINST","/ASBH-2""-GPS-381707-ED3-P",""
"/ASBHA-SDV-400002","SCINST","/ASBH-4""-FHS-401803-ED1",""
"/ASBHA-RO-400051","SCINST","/ASBH-4""-FHS-401803-ED1",""
"/ASBHA-PSV-381807","SCINST","/ASBH-3""-GPS-381802-ED1-P",""
"/ASBHA-XCV-381802","SCINST","/ASBH-6""-GPS-381804-ED3-P",""
"/ASBHA-XCV-381801","SCINST","/ASBH-6""-GPS-381804-ED3-P",""
"/ASBHA-ESDV-381852","SCINST","/ASBH-6""-GPS-381804-ED3-P",""
"/ASBHA-ESDV-381851","SCINST","/ASBH-6""-GPS-381804-ED3-P",""
"/ASBHA-ESDV-381853","SCINST","/ASBH-2""-GPS-381807-ED3-P",""
"/ASBHA-RO-381801","SCINST","/ASBH-2""-GPS-381807-ED3-P",""
"/ASBHA-PSV-381907","SCINST","/ASBH-3""-GPS-381902-ED1-P",""
"/ASBHA-XCV-381902","SCINST","/ASBH-6""-GPS-381904-ED3-P",""
"/ASBHA-XCV-381901","SCINST","/ASBH-6""-GPS-381904-ED3-P",""
"/ASBHA-ESDV-381952","SCINST","/ASBH-6""-GPS-381904-ED3-P",""
"/ASBHA-ESDV-381951","SCINST","/ASBH-6""-GPS-381904-ED3-P",""
"/ASBHA-ESDV-381953","SCINST","/ASBH-2""-GPS-381907-ED3-P",""
"/ASBHA-RO-381901","SCINST","/ASBH-2""-GPS-381907-ED3-P",""
"/ASBHA-PSV-382007","SCINST","/ASBH-3""-GPS-382002-ED1-P",""
"/ASBHA-XCV-382002","SCINST","/ASBH-10""-GPS-382004-ED3-P",""
"/ASBHA-XCV-382001","SCINST","/ASBH-10""-GPS-382004-ED3-P",""
"/ASBHA-ESDV-382052","SCINST","/ASBH-10""-GPS-382004-ED3-P",""
"/ASBHA-ESDV-382051","SCINST","/ASBH-10""-GPS-382004-ED3-P",""
"/ASBHA-ESDV-382053","SCINST","/ASBH-2""-GPS-382007-ED3-P",""
"/ASBHA-RO-382001","SCINST","/ASBH-2""-GPS-382007-ED3-P",""
"/ASBHA-PSV-382107","SCINST","/ASBH-3""-GPS-384001-ED1-P",""
"/ASBHA-XCV-382102","SCINST","/ASBH-10""-GPS-382104-ED3-P",""
"/ASBHA-XCV-382101","SCINST","/ASBH-10""-GPS-382104-ED3-P",""
"/ASBHA-ESDV-382152","SCINST","/ASBH-10""-GPS-382104-ED3-P",""
"/ASBHA-ESDV-382151","SCINST","/ASBH-10""-GPS-382104-ED3-P",""
"/ASBHA-ESDV-382153","SCINST","/ASBH-2""-GPS-382107-ED3-P",""
"/ASBHA-RO-382101","SCINST","/ASBH-2""-GPS-382107-ED3-P",""
"/ASBHA-PSV-383907","SCINST","/ASBH-3""-GPS-383902-ED1-P",""
"/ASBHA-XCV-383902","SCINST","/ASBH-10""-GPS-383904-ED3-P",""
"/ASBHA-XCV-383901","SCINST","/ASBH-10""-GPS-383904-ED3-P",""
"/ASBHA-ESDV-383952","SCINST","/ASBH-10""-GPS-383904-ED3-P",""
"/ASBHA-ESDV-383951","SCINST","/ASBH-10""-GPS-383904-ED3-P",""
"/ASBHA-ESDV-383953","SCINST","/ASBH-2""-GPS-383907-ED3-P",""
"/ASBHA-RO-383901","SCINST","/ASBH-2""-GPS-383907-ED3-P",""
"/ASBHA-BDV-450101","SCINST","/ASBH-3""-GPS-450010-GS1",""
"/ASBHA-RO-450041","SCINST","/ASBH-3""-GPS-450010-GS1",""
"/ASBHA-SDV-400003","SCINST","/ASBH-4""-FHS-402403-FD1",""
"/ASBHA-RO-400052","SCINST","/ASBH-4""-FHS-402403-FD1",""
"/ASBHA-PSV-382407","SCINST","/ASBH-3""-GPS-382402-FD1",""
"/ASBHA-XCV-382402","SCINST","/ASBH-10""-GPS-382404-FD7",""
"/ASBHA-XCV-382401","SCINST","/ASBH-10""-GPS-382404-FD7",""
"/ASBHA-ESDV-382452","SCINST","/ASBH-10""-GPS-382404-FD7",""
"/ASBHA-ESDV-382451","SCINST","/ASBH-10""-GPS-382404-FD7",""
"/ASBHA-ESDV-382453","SCINST","/ASBH-2""-GPS-382407-FD7",""
"/ASBHA-RO-382411","SCINST","/ASBH-2""-GPS-382407-FD7",""
"/ASBHA-FE-452601","SCINST","/ASBH-8""-GPS-452601-FD1",""
"/ASBHA-XCV-382608","SCINST","/ASBH-8""-GPS-452601-FD1",""
"/ASBHA-FE-452401","SCINST","/ASBH-8""-GPS-450016-FD1",""
"/ASBHA-XCV-382408","SCINST","/ASBH-8""-GPS-450016-FD1",""
"/ASBHA-PSV-382607","SCINST","/ASBH-3""-GPS-382602-FD1",""
"/ASBHA-XCV-382602","SCINST","/ASBH-10""-GPS-382604-FD7",""
"/ASBHA-XCV-382601","SCINST","/ASBH-10""-GPS-382604-FD7",""
"/ASBHA-ESDV-382652","SCINST","/ASBH-10""-GPS-382604-FD7",""
"/ASBHA-ESDV-382651","SCINST","/ASBH-10""-GPS-382604-FD7",""
"/ASBHA-ESDV-382653","SCINST","/ASBH-2""-GPS-382607-FD7",""
"/ASBHA-RO-382611","SCINST","/ASBH-2""-GPS-382607-FD7",""
"/ASBHA-XCV-382709","SCINST","/ASBH-26""-WOS-270304-BX1-P",""
"/ASBHA-PSV-382707","SCINST","/ASBH-3""-WOS-380254-BX1",""
"/ASBHA-XCV-382702","SCINST","/ASBH-26""-WOS-380251-BD2-P",""
"/ASBHA-XCV-382701","SCINST","/ASBH-26""-WOS-380251-BD2-P",""
"/ASBHA-XCV-382509","SCINST","/ASBH-26""-WOS-270003-BX1-P",""
"/ASBHA-XCV-382502","SCINST","/ASBH-26""-WOS-380257-BD2-P",""
"/ASBHA-XCV-382501","SCINST","/ASBH-26""-WOS-380257-BD2-P",""
"/ASBHA-PSV-382507","SCINST","/ASBH-3""-WOS-380260-BX1-P",""
"/ASBHA-FE-351101","SCINST","/ASBH-20""-WI-350031-BD1",""
"/ASBHA-PSV-351110A","SCINST","/ASBH-10""-WI-350038-BD1",""
"/ASBHA-FCV-351101","SCINST","/ASBH-12""-WI-359002-BD1",""
"/ASBHA-PSV-351110B","SCINST","/ASBH-10""-WI-350039-BD1",""
"/ASBHA-FO-351154","SCINST","/ASBH-2""-WI-350036-BD1",""
"/ASBHA-FE-352101","SCINST","/ASBH-20""-WI-350045-BD1",""
"/ASBHA-FCV-352101","SCINST","/ASBH-12""-WI-350047-BD1",""
"/ASBHA-PSV-352110A","SCINST","/ASBH-10""-WI-350052-BD1",""
"/ASBHA-FO-352154","SCINST","/ASBH-2""-WI-350050-BD1",""
"/ASBHA-PSV-352110B","SCINST","/ASBH-10""-WI-350053-BD1",""
"/ASBHA-FE-351301","SCINST","/ASBH-26""-WI-350059-FD1",""
"/ASBHA-LCV-351104","SCINST","/ASBH-26""-WI-350059-FD1",""
"/ASBHA-SDV-350001","SCINST","/ASBH-26""-WI-350059-FD1",""
"/ASBHA-FCV-351301","SCINST","/ASBH-12""-WI-350060-FD1",""
"/ASBHA-PSV-801002","SCINST","/ASBH-2""-WC-801004-AD1",""
"/ASBHA-PSV-801001","SCINST","/ASBH-2""-WC-801002-AD1",""
"/ASBHA-RO-570120","SCINST","/ASBH-2""-FHS-579881-BX1",""
"/ASBHA-PCV-351006","SCINST","/ASBH-3""-WI-355039-FD1",""
"/ASBHA-TCV-350001","SCINST","/ASBH-3""-WI-355036-FD1",""
"/ASBHA-FO-350007","SCINST","/ASBH-0.5""-WI-355049-FD1",""
"/ASBHA-PCV-581007","SCINST","/ASBH-2""-WI-585061-FD1",""
"/ASBHA-PLV-350001","SCINST","/ASBH-2""-WI-355062-FD1",""
"/ASBHA-PLV-350003","SCINST","=1073780026/14546",""
"/ASBHA-PLV-350002","SCINST","=1073780026/14592",""
"/ASBHA-FO-350006","SCINST","/ASBH-3""-WI-355051-FD1",""
"/ASBHA-FO-350005","SCINST","/ASBH-1""-WI-355066-FD1",""
"/ASBHA-FE-352301","SCINST","/ASBH-20""-WI-350069-FD1",""
"/ASBHA-LCV-352104","SCINST","/ASBH-20""-WI-350069-FD1",""
"/ASBHA-SDV-350002","SCINST","/ASBH-20""-WI-350069-FD1",""
"/ASBHA-FCV-352301","SCINST","/ASBH-12""-WI-350070-FD1",""
"/Copy-of-ASBHA--57","SCINST","/ASBH-2""-GFS-574799-BX1-T",""
"/ASBHA-RO-571120","SCINST","/ASBH-2""-FHS-571036-BX1",""
"/ASBHA-XCV-342113","SCINST","/ASBH-2""-WOS-340068-BM1",""
"/ASBHA-XCV-342112","SCINST","/ASBH-2""-WOS-349002-BM1",""
"/ASBHA-FE-350306","SCINST","/ASBH-4""-WI-350362-BD1",""
"/ASBHA-FCV-350306","SCINST","/ASBH-4""-WI-350362-BD1",""
