,ObjNAME_x,ObjTYPE_x,Path,ObjREFERENCE,ObjREFERENCEtype,ObjNAME_y,ObjTYPE_y
101,/ASBHA-EJ-3409,SCEQUI,/ASBHA-EJ-3409/N,"/ASBH-2""-WOS-340068-BM1/B03",SCBRAN,,
102,/ASBHA-T-3902,SCEQUI,/ASBHA-T-3902/N1,"/ASBH-2""-CB-390002-AS1/B01",SCBRAN,,
103,/ASBHA-T-3902,SCEQUI,/ASBHA-T-3902/N5,"/ASBH-3""-CI-390097-AS1/B01",SCBRAN,,
104,/ASBHA-T-3902,SCEQUI,/ASBHA-T-3902/N4,"/ASBH-1""-CI-392253-IT1/B01",SCBRAN,,
105,/ASBHA-T-3902,SCEQUI,/ASBHA-T-3902/N2,"/ASBH-1""-CI-392018-IT1/B07",SCBRAN,,
106,/ASBHA-T-3902,SCEQUI,/ASBHA-T-3902/N4,"/ASBH-0.75""-CI-392024-IT1/B01",SCBRAN,,
107,/ASBHA-T-3902,SCEQUI,/ASBHA-T-3902/N4,"/ASBH-1""-CI-392122-IT1/B01",SCBRAN,,
108,/ASBHA-FIL-5301,SCEQUI,/ASBHA-FIL-5301/N1,"/ASBH-36""-WS-530011-AR1/B06",SCBRAN,,
109,/ASBHA-FIL-5301,SCEQUI,/ASBHA-FIL-5301/N1,"/ASBH-36""-WS-534001-AR1/B01",SCBRAN,,
110,/ASBHA-FIL-5301,SCEQUI,/ASBHA-FIL-5301/N2,"/ASBH-36""-WS-534005-AR1/B02",SCBRAN,,
111,/ASBHA-FIL-5301,SCEQUI,/ASBHA-FIL-5301/N2,"/ASBH-36""-WS-534005-AR1/B01",SCBRAN,,
112,/ASBHA-FIL-5301,SCEQUI,/ASBHA-FIL-5301/N2,"/ASBH-36""-WS-534013-AR1/B01",SCBRAN,,
113,/ASBHA-FIL-5301,SCEQUI,/ASBHA-FIL-5301/N2,"/ASBH-36""-WS-534013-AR1/B02",SCBRAN,,
114,/ASBHA-EP-3832,SCEQUI,/ASBHA-EP-3832/N2,"/ASBH-20""-WI-383204-FD4/B01",SCBRAN,,
115,/ASBHA-EP-3832,SCEQUI,/ASBHA-EP-3832/N3,"/ASBH-8""-WI-383201-FD1/B01",SCBRAN,,
116,/ASBHA-EP-3832,SCEQUI,/ASBHA-EP-3832/N9,"/ASBH-4""-WI-383203-FD1/B01",SCBRAN,,
117,/ASBHA-EP-3832,SCEQUI,/ASBHA-EP-3832/N6,"/ASBH-3""-WI-383202-FD1/B01",SCBRAN,,
118,/ASBHA-EP-3832,SCEQUI,/ASBHA-EP-3832/N2,"/ASBH-20""-WI-383213-FD4/B02",SCBRAN,,
119,/ASBHA-EP-3832,SCEQUI,/ASBHA-EP-3832/N6,"/ASBH-2""-WI-384059-FD1/B01",SCBRAN,,
120,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N2,"/ASBH-10""-WI-382804-FD4/B01",SCBRAN,,
121,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N3,"/ASBH-4""-WI-382801-FD1/B01",SCBRAN,,
122,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N9,"/ASBH-2""-WI-382803-FD1/B01",SCBRAN,,
123,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N6,"/ASBH-3""-WI-382802-FD1/B01",SCBRAN,,
124,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N4,"/ASBH-2""-WI-382805-FD1/B01",SCBRAN,,
125,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N9,"/ASBH-2""-WI-382803-FD1/B02",SCBRAN,,
126,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N2,"/ASBH-16""-WI-382813-FD4/B01",SCBRAN,,
127,/ASBHA-EP-3828,SCEQUI,/ASBHA-EP-3828/N6,"/ASBH-2""-WI-384047-FD1/B01",SCBRAN,,
128,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N3,"/ASBH-8""-GPS-381001-AD4/B01",SCBRAN,,
129,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N2,"/ASBH-20""-GPS-381004-AD5/B01",SCBRAN,,
130,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N6,"/ASBH-3""-GPS-381002-AD4/B01",SCBRAN,,
131,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N9,"/ASBH-4""-GPS-381003-AD4/B01",SCBRAN,,
