"ObjNAME","ObjTYPE","ObjREFERENCE", "ref type"
"/=1140867314/176087/B01","SCBRAN","/PFD-ASBJA-V-3411","tail"
"/=1140867314/176114/B01","SCBRAN","/PFD-ASBJA-V-3411","head"
"/=1140867314/176114/B01","SCBRAN","=1140891890/23210","tail"
"/=1140867314/176114/B02","SCBRAN","=1140891890/23140","head"
"/=1140867314/176114/B02","SCBRAN","Unset","tail"
"/=1140867314/176150/B01","SCBRAN","/PFD-ASBJA-V-3411","head"
"/=1140867314/176150/B01","SCBRAN","=1140867314/176155","tail"
"/=1140867314/176165/B01","SCBRAN","=1140867314/176136","head"
"/=1140867314/176165/B01","SCBRAN","Unset","tail"
"/=1140867314/176166/B01","SCBRAN","/PFD-ASBJA-V-3411","head"
"/=1140867314/176166/B01","SCBRAN","/=1140867314/176751/B01","tail"
"/=1140867314/176166/B02","SCBRAN","=1140867314/176188","head"
"/=1140867314/176166/B02","SCBRAN","Unset","tail"
"/=1140867314/176166/B03","SCBRAN","=1140883698/33061","head"
"/=1140867314/176166/B03","SCBRAN","/=1140883698/33044/B01","tail"
"/=1140867314/176228/B01","SCBRAN","/PFD-ASBJA-V-3411","head"
"/=1140867314/176228/B01","SCBRAN","=1140867314/176233","tail"
"/=1140867314/176247/B01","SCBRAN","/PFD-ASBJA-V-3411","head"
"/=1140867314/176247/B01","SCBRAN","Unset","tail"
"/=1140867314/176284/B01","SCBRAN","=1140867314/176291","head"
"/=1140867314/176284/B01","SCBRAN","/PFD-ASBJA-V-3411","tail"
"/=1140867314/176321/B01","SCBRAN","/PFD-ASBJA-V-3411","head"
"/=1140867314/176321/B01","SCBRAN","/PFD-ASBJA-P-3411","tail"
"/=1140867314/176332/B01","SCBRAN","=1140867314/176353","head"
"/=1140867314/176332/B01","SCBRAN","=1140867314/176341","tail"
"/=1140867314/176357/B01","SCBRAN","/PFD-ASBJA-P-3411","head"
"/=1140867314/176357/B01","SCBRAN","Unset","tail"
"/=1140867314/176378/B01","SCBRAN","=1140867314/176385","head"
"/=1140867314/176378/B01","SCBRAN","/PFD-ASBJA-V-3411","tail"
"/=1140883698/33044/B01","SCBRAN","/=1140867314/176166/B03","head"
"/=1140883698/33044/B01","SCBRAN","=1140883698/33067","tail"
"=1140867314/183199","SCBRAN","Unset","head"
"=1140867314/183199","SCBRAN","Unset","tail"
"/ASAS-ILINE-0322-0001/B01","SCBRAN","=1140883698/28572","head"
"/ASAS-ILINE-0322-0001/B01","SCBRAN","Unset","tail"
"/ASAS-ILINE-0322-0001/B02","SCBRAN","=1140883698/28622","head"
"/ASAS-ILINE-0322-0001/B02","SCBRAN","=1140883698/28626","tail"
"/ASAS-ILINE-0322-0001/B03","SCBRAN","=1140867314/248603","head"
"/ASAS-ILINE-0322-0001/B03","SCBRAN","=1140883698/33105","tail"
"/=1140883698/33205/B01","SCBRAN","=1140883698/28626","head"
"/=1140883698/33205/B01","SCBRAN","=1140883698/28625","tail"
"/=1140883698/28566/B01","SCBRAN","Unset","head"
"/=1140883698/28566/B01","SCBRAN","/PFD-ASBJA-V-3421","tail"
"/=1140883698/28573/B01","SCBRAN","/PFD-ASBJA-V-3421","head"
"/=1140883698/28573/B01","SCBRAN","=1140867314/248609","tail"
"/=1140883698/28573/B02","SCBRAN","=1140891890/23154","head"
"/=1140883698/28573/B02","SCBRAN","Unset","tail"
"/=1140883698/28590/B01","SCBRAN","/PFD-ASBJA-V-3421","head"
"/=1140883698/28590/B01","SCBRAN","=1140883698/28599","tail"
"/=1140883698/28594/B01","SCBRAN","=1140883698/28577","head"
"/=1140883698/28594/B01","SCBRAN","Unset","tail"
"/=1140883698/28600/B01","SCBRAN","/PFD-ASBJA-V-3421","head"
"/=1140883698/28600/B01","SCBRAN","Unset","tail"
"/=1140883698/28600/B02","SCBRAN","=1140883698/28606","head"
"/=1140883698/28600/B02","SCBRAN","Unset","tail"
"/=1140883698/28600/B03","SCBRAN","=1140883698/33084","head"
"/=1140883698/28600/B03","SCBRAN","/=1140883698/33101/B01","tail"
"/=1140883698/28627/B01","SCBRAN","/PFD-ASBJA-V-3421","head"
"/=1140883698/28627/B01","SCBRAN","Unset","tail"
"/=1140883698/28632/B01","SCBRAN","/PFD-ASBJA-V-3421","head"
"/=1140883698/28632/B01","SCBRAN","Unset","tail"
"/=1140883698/28653/B01","SCBRAN","=1140883698/28646","head"
"/=1140883698/28653/B01","SCBRAN","/PFD-ASBJA-V-3421","tail"
"/=1140883698/28663/B01","SCBRAN","/PFD-ASBJA-V-3421","head"
"/=1140883698/28663/B01","SCBRAN","/PFD-ASBJA-P-3421","tail"
"/=1140883698/28674/B01","SCBRAN","=1140883698/28669","head"
"/=1140883698/28674/B01","SCBRAN","=1140883698/28678","tail"
"/=1140883698/28697/B01","SCBRAN","=1140883698/28685","head"
"/=1140883698/28697/B01","SCBRAN","/PFD-ASBJA-V-3421","tail"
"/=1140883698/33101/B01","SCBRAN","/=1140883698/28600/B03","head"
"/=1140883698/33101/B01","SCBRAN","=1140883698/33090","tail"
"/=1140867314/176751/B01","SCBRAN","/=1140867314/176166/B01","head"
"/=1140867314/176751/B01","SCBRAN","/PFD-ASBJA-V-3402","tail"
"/=1140867314/176800/B01","SCBRAN","/PFD-ASBJA-V-3402","head"
"/=1140867314/176800/B01","SCBRAN","=1140867314/176805","tail"
"/=1140867314/176807/B01","SCBRAN","/=1140867314/176820/B01","head"
"/=1140867314/176807/B01","SCBRAN","Unset","tail"
"/=1140867314/176820/B01","SCBRAN","/PFD-ASBJA-V-3402","head"
"/=1140867314/176820/B01","SCBRAN","/=1140867314/176807/B01","tail"
"/=1140867314/176820/B02","SCBRAN","=1140867314/183278","head"
"/=1140867314/176820/B02","SCBRAN","/PFD-ASBJA-C-4203","tail"
"/=1140867314/176820/B03","SCBRAN","=1140867314/177425","head"
"/=1140867314/176820/B03","SCBRAN","=1140867314/177429","tail"
"=1140875506/78759","SCBRAN","/PFD-ASBJA-C-4203","head"
"=1140875506/78759","SCBRAN","/PFD-ASBJA-V-4203","tail"
"/=1140867314/176820/B04","SCBRAN","=1140867314/228618","head"
"/=1140867314/176820/B04","SCBRAN","/PFD-ASBJA-C-4204","tail"
"/=1140867314/176840/B01","SCBRAN","/PFD-ASBJA-V-3402","head"
"/=1140867314/176840/B01","SCBRAN","/PFD-ASBJA-P-3601","tail"
"/=1140867314/176840/B02","SCBRAN","=1140875506/77874","head"
"/=1140867314/176840/B02","SCBRAN","=1140867314/176859","tail"
"/=1140867314/176840/B04","SCBRAN","=1140867314/176907","head"
"/=1140867314/176840/B04","SCBRAN","=1140867314/176911","tail"
"/=1140867314/176915/B01","SCBRAN","/PFD-ASBJA-P-3601","head"
"/=1140867314/176915/B01","SCBRAN","Unset","tail"
"/=1140867314/176915/B02","SCBRAN","=1140867314/176934","head"
"/=1140867314/176915/B02","SCBRAN","/PFD-ASBJA-V-3402","tail"
"/=1140867314/176915/B03","SCBRAN","=1140883698/33116","head"
"/=1140867314/176915/B03","SCBRAN","/=1140883698/33126/B01","tail"
"=1140867314/183617","SCBRAN","Unset","head"
"=1140867314/183617","SCBRAN","Unset","tail"
"/=1140867314/176980/B01","SCBRAN","/PFD-ASBJA-V-3402","head"
"/=1140867314/176980/B01","SCBRAN","=1140867314/176985","tail"
"/=1140867314/176997/B01","SCBRAN","Unset","head"
"/=1140867314/176997/B01","SCBRAN","/PFD-ASBJA-EJ-3401","tail"
"/=1140867314/176997/B02","SCBRAN","Unset","head"
"/=1140867314/176997/B02","SCBRAN","Unset","tail"
"/=1140867314/177020/B01","SCBRAN","=1140867314/177025","head"
"/=1140867314/177020/B01","SCBRAN","/PFD-ASBJA-V-3402","tail"
"/=1140867314/177051/B01","SCBRAN","/PFD-ASBJA-V-3402","head"
"/=1140867314/177051/B01","SCBRAN","=1140867314/177056","tail"
"/=1140867314/177110/B01","SCBRAN","=1140867314/177177","head"
"/=1140867314/177110/B01","SCBRAN","Unset","tail"
"/=1140867314/177110/B02","SCBRAN","=1140867314/177199","head"
"/=1140867314/177110/B02","SCBRAN","Unset","tail"
"/=1140867314/177110/B03","SCBRAN","=1140883698/75530","head"
"/=1140867314/177110/B03","SCBRAN","/PFD-ASBJA-V-3401","tail"
"/=1140867314/177128/B01","SCBRAN","=1140867314/177133","head"
"/=1140867314/177128/B01","SCBRAN","/PFD-ASBJA-EJ-3401","tail"
"/=1140867314/177128/B02","SCBRAN","=1140867314/177189","head"
"/=1140867314/177128/B02","SCBRAN","Unset","tail"
"/=1140867314/177221/B01","SCBRAN","=1140867314/177230","head"
"/=1140867314/177221/B01","SCBRAN","Unset","tail"
"/=1140867314/177221/B02","SCBRAN","/PFD-ASBJA-EJ-3401","head"
"/=1140867314/177221/B02","SCBRAN","/PFD-ASBJA-V-3401","tail"
"/=1140867314/177221/B03","SCBRAN","=1140891890/23166","head"
"/=1140867314/177221/B03","SCBRAN","=1140867314/249628","tail"
"=1140867314/249628","SCBRAN","Unset","head"
"=1140867314/249628","SCBRAN","/=1140867314/177221/B03","tail"
"/=1140867314/177238/B01","SCBRAN","/PFD-ASBJA-V-3401","head"
"/=1140867314/177238/B01","SCBRAN","Unset","tail"
"/=1140867314/177238/B02","SCBRAN","Unset","head"
"/=1140867314/177238/B02","SCBRAN","Unset","tail"
"/=1140867314/177253/B01","SCBRAN","/PFD-ASBJA-V-3401","head"
"/=1140867314/177253/B01","SCBRAN","=1140867314/249634","tail"
"/=1140867314/177253/B02","SCBRAN","=1140867314/177263","head"
"/=1140867314/177253/B02","SCBRAN","Unset","tail"
"/=1140867314/177253/B03","SCBRAN","=1140867314/249640","head"
"/=1140867314/177253/B03","SCBRAN","Unset","tail"
"/=1140867314/177253/B04","SCBRAN","=1140867314/177312","head"
"/=1140867314/177253/B04","SCBRAN","=1140867314/177316","tail"
"=1140867314/249630","SCBRAN","=1140867314/249638","head"
"=1140867314/249630","SCBRAN","=1140883698/28096","tail"
"=1140867314/249638","SCBRAN","=1140867314/249630","head"
"=1140867314/249638","SCBRAN","=1140867314/177280","tail"
"/=1140867314/177318/B01","SCBRAN","/PFD-ASBJA-V-3401","head"
"/=1140867314/177318/B01","SCBRAN","=1140891890/17706","tail"
"/=1140867314/177318/B02","SCBRAN","=1140891890/17692","head"
"/=1140867314/177318/B02","SCBRAN","=1140891890/17698","tail"
"/=1140867314/177318/B03","SCBRAN","=1140867314/177332","head"
"/=1140867314/177318/B03","SCBRAN","Unset","tail"
"/=1140867314/177318/B04","SCBRAN","=1140867314/177350","head"
"/=1140867314/177318/B04","SCBRAN","Unset","tail"
"/=1140883698/33126/B01","SCBRAN","/=1140867314/176915/B03","head"
"/=1140883698/33126/B01","SCBRAN","=1140883698/33122","tail"
"=1140883698/33136","SCBRAN","=1140875506/98880","head"
"=1140883698/33136","SCBRAN","=1140883698/33130","tail"
"=1140883698/33140","SCBRAN","=1140867314/176966","head"
"=1140883698/33140","SCBRAN","=1140867314/176972","tail"
"/=1140883698/33135/B01","SCBRAN","=1140867314/176972","head"
"/=1140883698/33135/B01","SCBRAN","=1140867314/176978","tail"
"/=1140891890/18869/B01","SCBRAN","=1140883698/73402","head"
"/=1140891890/18869/B01","SCBRAN","Unset","tail"
"=1140875506/104402","SCBRAN","Unset","head"
"=1140875506/104402","SCBRAN","=1140867314/177409","tail"
"/=1140867314/228524/B01","SCBRAN","=1140867314/177429","head"
"/=1140867314/228524/B01","SCBRAN","=1140867314/177578","tail"
"/=1140867314/228524/B02","SCBRAN","=1140867314/228537","head"
"/=1140867314/228524/B02","SCBRAN","=1140875506/78844","tail"
"/=1140867314/177431/B01","SCBRAN","/PFD-ASBJA-C-4204","head"
"/=1140867314/177431/B01","SCBRAN","=1140875506/98884","tail"
"/=1140867314/182814/B01","SCBRAN","/PFD-ASBJA-V-4203","head"
"/=1140867314/182814/B01","SCBRAN","Unset","tail"
"/=1140867314/177472/B01","SCBRAN","/PFD-ASBJA-V-4203","head"
"/=1140867314/177472/B01","SCBRAN","/PFD-ASBJA-V-4002","tail"
"/=1140867314/177507/B01","SCBRAN","/PFD-ASBJA-V-4203","head"
"/=1140867314/177507/B01","SCBRAN","/PFD-ASBJA-E-4203","tail"
"/=1140867314/177516/B01","SCBRAN","/PFD-ASBJA-E-4203","head"
"/=1140867314/177516/B01","SCBRAN","/PFD-ASBJA-C-4203","tail"
"/=1140867314/177516/B02","SCBRAN","=1140867314/228650","head"
"/=1140867314/177516/B02","SCBRAN","=1140875506/78785","tail"
"/=1140867314/177516/B03","SCBRAN","=1140867314/228656","head"
"/=1140867314/177516/B03","SCBRAN","/PFD-ASBJA-C-4204","tail"
"/=1140867314/177516/B04","SCBRAN","=1140875506/98910","head"
"/=1140867314/177516/B04","SCBRAN","Unset","tail"
"/=1140867314/177565/B01","SCBRAN","=1140867314/182800","head"
"/=1140867314/177565/B01","SCBRAN","=1140867314/177574","tail"
"/=1140867314/177565/B02","SCBRAN","=1140875506/78830","head"
"/=1140867314/177565/B02","SCBRAN","=1140875506/78836","tail"
"/=1140867314/177580/B01","SCBRAN","/PFD-ASBJA-V-4203","head"
"/=1140867314/177580/B01","SCBRAN","/=1140867314/177614/B03","tail"
"/=1140875506/78802/B01","SCBRAN","/PFD-ASBJA-E-4203","head"
"/=1140875506/78802/B01","SCBRAN","Unset","tail"
"=1140867314/228683","SCBRAN","Unset","head"
"=1140867314/228683","SCBRAN","/PFD-ASBJA-E-4203","tail"
"/=1140867314/228671/B01","SCBRAN","Unset","head"
"/=1140867314/228671/B01","SCBRAN","/PFD-ASBJA-V-4203","tail"
"=1140867314/255761","SCBRAN","=1140891890/19045","head"
"=1140867314/255761","SCBRAN","Unset","tail"
"/ASBJ-ILINE-0325-0001/B01","SCBRAN","=1140867314/177719","head"
"/ASBJ-ILINE-0325-0001/B01","SCBRAN","=1140867314/177822","tail"
"/ASBJ-ILINE-0325-0001/B02","SCBRAN","=1140867314/177719","head"
"/ASBJ-ILINE-0325-0001/B02","SCBRAN","=1140883698/29108","tail"
"/=1140867314/177691/B01","SCBRAN","Unset","head"
"/=1140867314/177691/B01","SCBRAN","=1140867314/249554","tail"
"/=1140867314/177749/B01","SCBRAN","=1140867314/177756","head"
"/=1140867314/177749/B01","SCBRAN","/PFD-ASBJA-V-4211","tail"
"/=1140867314/177749/B02","SCBRAN","=1140867314/177969","head"
"/=1140867314/177749/B02","SCBRAN","=1140867314/177979","tail"
"/=1140867314/177763/B02","SCBRAN","=1140883698/29090","head"
"/=1140867314/177763/B02","SCBRAN","=1140883698/29094","tail"
"/=1140867314/177614/B01","SCBRAN","Unset","head"
"/=1140867314/177614/B01","SCBRAN","Unset","tail"
"/=1140867314/177614/B02","SCBRAN","=1140867314/177715","head"
"/=1140867314/177614/B02","SCBRAN","=1140867314/177719","tail"
"/=1140867314/177614/B03","SCBRAN","/=1140867314/177580/B01","head"
"/=1140867314/177614/B03","SCBRAN","=1140891890/23202","tail"
"/=1140891890/18898/B01","SCBRAN","=1140883698/73390","head"
"/=1140891890/18898/B01","SCBRAN","Unset","tail"
"/=1140867314/177832/B01","SCBRAN","/PFD-ASBJA-V-4211","head"
"/=1140867314/177832/B01","SCBRAN","/PFD-ASBJA-C-4211","tail"
"/=1140867314/177832/B02","SCBRAN","=1140867314/177858","head"
"/=1140867314/177832/B02","SCBRAN","Unset","tail"
"/=1140867314/177832/B03","SCBRAN","=1140867314/177872","head"
"/=1140867314/177832/B03","SCBRAN","Unset","tail"
"/=1140867314/177832/B04","SCBRAN","=1140867314/177884","head"
"/=1140867314/177832/B04","SCBRAN","Unset","tail"
"/=1140867314/177832/B06","SCBRAN","=1140867314/177936","head"
"/=1140867314/177832/B06","SCBRAN","=1140867314/177940","tail"
"/=1140867314/177841/B01","SCBRAN","/PFD-ASBJA-C-4211","head"
"/=1140867314/177841/B01","SCBRAN","/PFD-ASBJA-E-4211","tail"
"/=1140867314/177841/B02","SCBRAN","=1140867314/177894","head"
"/=1140867314/177841/B02","SCBRAN","Unset","tail"
"/=1140867314/177841/B03","SCBRAN","=1140867314/177908","head"
"/=1140867314/177841/B03","SCBRAN","Unset","tail"
"/=1140883698/29072/B01","SCBRAN","=1140867314/178082","head"
"/=1140883698/29072/B01","SCBRAN","=1140867314/178086","tail"
"/=1140867314/177991/B01","SCBRAN","/PFD-ASBJA-V-4211","head"
"/=1140867314/177991/B01","SCBRAN","Unset","tail"
"/=1140867314/178028/B02","SCBRAN","/PFD-ASBJA-V-4211","head"
"/=1140867314/178028/B02","SCBRAN","Unset","tail"
"/=1140867314/178035/B01","SCBRAN","/PFD-ASBJA-E-4211","head"
"/=1140867314/178035/B01","SCBRAN","Unset","tail"
"/=1140867314/178059/B01","SCBRAN","/PFD-ASBJA-E-4211","head"
"/=1140867314/178059/B01","SCBRAN","/PFD-ASBJA-V-4311","tail"
"/=1140867314/178059/B02","SCBRAN","=1140867314/178068","head"
"/=1140867314/178059/B02","SCBRAN","=1140867314/178072","tail"
"/=1140867314/178059/B03","SCBRAN","=1140867314/178133","head"
"/=1140867314/178059/B03","SCBRAN","=1140867314/178143","tail"
"/=1140883698/29073/B01","SCBRAN","=1140867314/178303","head"
"/=1140883698/29073/B01","SCBRAN","=1140883698/29074","tail"
"/=1140867314/178097/B01","SCBRAN","Unset","head"
"/=1140867314/178097/B01","SCBRAN","/PFD-ASBJA-E-4211","tail"
"/=1140867314/178202/B01","SCBRAN","/PFD-ASBJA-V-4311","head"
"/=1140867314/178202/B01","SCBRAN","/PFD-ASBJA-C-4311","tail"
"/=1140867314/178202/B02","SCBRAN","=1140867314/178223","head"
"/=1140867314/178202/B02","SCBRAN","Unset","tail"
"/=1140867314/178202/B03","SCBRAN","=1140867314/178219","head"
"/=1140867314/178202/B03","SCBRAN","Unset","tail"
"/=1140867314/178202/B04","SCBRAN","=1140867314/178215","head"
"/=1140867314/178202/B04","SCBRAN","Unset","tail"
"/=1140867314/178294/B01","SCBRAN","/PFD-ASBJA-E-4311","head"
"/=1140867314/178294/B01","SCBRAN","/PFD-ASBJA-V-4111","tail"
"/=1140867314/178294/B02","SCBRAN","=1140867314/178336","head"
"/=1140867314/178294/B02","SCBRAN","=1140867314/178348","tail"
"/=1140867314/178281/B01","SCBRAN","/PFD-ASBJA-V-4311","head"
"/=1140867314/178281/B01","SCBRAN","=1140867314/249578","tail"
"/=1140867314/178227/B01","SCBRAN","/PFD-ASBJA-C-4311","head"
"/=1140867314/178227/B01","SCBRAN","/PFD-ASBJA-E-4311","tail"
"/=1140867314/178227/B02","SCBRAN","=1140867314/178232","head"
"/=1140867314/178227/B02","SCBRAN","Unset","tail"
"/=1140867314/178227/B03","SCBRAN","=1140867314/178236","head"
"/=1140867314/178227/B03","SCBRAN","Unset","tail"
"/=1140867314/178352/B01","SCBRAN","Unset","head"
