ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073788218/14834-->/ASBH-6""-GPS-441902-ED1-P/B01",/ASBHA-XCV-381908,SCINST
/ASBHA-V-5002,SCEQUI,"/ASBHA-V-5002/N9-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500186-AX1/B01-->=1073763642/46323-->/ASBH-3""-DPS-500165-AX1/B01-->/ASBHA-V-4001/N3-->/ASBHA-V-4001",/ASBHA-SIG-S-LT-400102-1,SCOINS
/ASBHA-EP-3812,SCEQUI,"/ASBHA-EP-3812/N9-->/ASBHA-EP-3812/N9-->/ASBH-4""-GPS-381203-AD4/B01-->=1073763642/10714-->/ASBH-8""-GPS-381201-AD4/B01-->=1073763642/12938-->/ASBH-14""-GPS-341202-AD4/B01",/ASBHA-PCV-340212,SCINST
/ASBHA-P-5004,SCEQUI,"/ASBHA-P-5004/N1-->/ASBHA-P-5004/N1-->/ASBH-4""-DPS-500164-AX2/B01-->=1073763642/106088-->/ASBH-4""-DPS-500162-AX2/B01-->/ASBHA-SDV-500207",/ASBHA-ZS-500207,SCOINS
/ASBHA-P-5004,SCEQUI,"/ASBHA-P-5004/N1-->/ASBHA-P-5004/N1-->/ASBH-4""-DPS-500164-AX2/B01-->=1073763642/106088-->/ASBH-4""-DPS-500162-AX2/B01-->/ASBHA-V-5002/N11-->/ASBHA-V-5002-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500187-AX1/B01",/ASBHA-RO-500451,SCINST
/ASBHA-EP-3839,SCEQUI,"/ASBHA-EP-3839/N3-->/ASBHA-EP-3839/N3-->/ASBH-4""-GPS-383901-ED1-P/B01-->=1073763642/24767-->/ASBH-6""-GPS-443902-ED1-P/B01-->=1073788218/15423-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073763642/148062-->/ASBH-10""-GPS-440003-ED1-P/B01-->/ASBHA-ESDV-440021-->/ASBHA-ZT-440021",/ASBHA-SIG-S-ZT-440021-1,SCOINS
/ASBHA-P-1002,SCEQUI,"/ASBHA-P-1002/N1-->/ASBHA-P-1002/N1-->/ASBH-3""-WP-100003-AR1/B01-->=1073763642/73487-->/ASBH-3""-WP-100002-AR1/B01-->/ASBHA-T-1001/N2-->/ASBHA-T-1001-->/ASBHA-T-1001/N6-->/ASBH-2""-WP-100007-AR1/B01",/ASBHA-RO-100251,SCINST
/ASBHA-EP-3821,SCEQUI,"/ASBHA-EP-3821/N3-->/ASBHA-EP-3821/N3-->/ASBH-4""-GPS-382102-ED1-P/B01-->=1073763642/24724-->/ASBH-8""-GPS-442102-ED1-P/B01-->=1073763642/98412-->/ASBH-12""-GPS-440001-ED1-P/B01-->=1073788218/15430-->/ASBH-6""-GPS-441702-ED1-P/B01",/ASBHA-FE-441701,SCINST
/ASBHA-T-5001,SCEQUI,"/ASBHA-T-5001/N6-->/ASBHA-T-5001/N6-->/ASBH-2""-GI-080007-AD1/B01",/ASBHA-FT-080001,SCINST
/ASBHA-V-5002,SCEQUI,"/ASBHA-V-5002/N9-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500186-AX1/B01-->=1073763642/46323-->/ASBH-3""-DPS-500165-AX1/B01-->/ASBHA-P-5003/N2-->/ASBHA-P-5003",/ASBHA-PT-500305,SCOINS
/ASBHA-V-5002,SCEQUI,"/ASBHA-V-5002/N9-->/ASBHA-V-5002/N9-->/ASBH-2""-DPS-500188-AX1/B01-->=1073763642/56684-->/ASBH-2""-DPS-500186-AX1/B01",/ASBHA-RO-500351,SCINST
/ASBHA-T-3909,SCEQUI,"/ASBHA-T-3909/N6-->/ASBHA-T-3909/N6-->/ASBH-2""-CY-392153-AS1/B03-->=1073763642/124128-->/ASBH-2""-CY-392127-AS1/B01",/ASBHA-PCV-393001,SCINST
/ASBHA-P-4002,SCEQUI,"/ASBHA-P-4002/N1-->/ASBHA-P-4002/N1-->/ASBH-6""-DPS-400409-BX1/B01-->=1073763642/180128-->/ASBH-6""-DPS-400407-BX1/B01-->/ASBHA-P-4001/N1-->/ASBHA-P-4001",/ASBHA-PT-400105,SCOINS
