"ObjNAME","ObjTYPE","ObjREFERENCE"
"=1140883698/51512","SCFITT","/ASAS-ILINE-0328-0001/B05","SCBRAN"
"=1140883698/51516","SCFITT","/ASAS-ILINE-0328-0001/B06","SCBRAN"
"=1140883698/30156","SCFITT","/=1140867314/178780/B02","SCBRAN"
"=1140867314/249560","SCFITT","/=1140867314/178805/B01","SCBRAN"
"=1140867314/179007","SCFITT","/=1140867314/179087/B01","SCBRAN"
"=1140900082/11751","SCFITT","/=1140900082/11746/B01","SCBRAN"
"=1140867314/179188","SCFITT","/=1140867314/179153/B03","SCBRAN"
"=1140867314/179194","SCFITT","/=1140867314/179153/B03","SCBRAN"
"=1140867314/179158","SCFITT","/=1140867314/178805/B01","SCBRAN"
"=1140867314/182470","SCFITT","/=1140867314/179153/B01","SCBRAN"
"=1140867314/182480","SCFITT","/=1140867314/179153/B01","SCBRAN"
"=1140867314/182562","SCFITT","/=1140867314/182557/B01","SCBRAN"
"=1140867314/248676","SCFITT","/=1140900082/11174/B02","SCBRAN"
"=1140891890/39752","SCFITT","=1140891890/39736","SCBRAN"
"=1140900082/11290","SCFITT","/=1140900082/11217/B01","SCBRAN"
"=1140900082/11294","SCFITT","/=1140900082/11278/B02","SCBRAN"
"=1140900082/11371","SCFITT","/=1140900082/11359/B02","SCBRAN"
"=1140900082/11375","SCFITT","/=1140900082/11359/B02","SCBRAN"
"=1140900082/11381","SCFITT","/=1140900082/11217/B01","SCBRAN"
"=1140875506/78890","SCFITT","/=1140900082/12790/B02","SCBRAN"
"=1140875506/78902","SCFITT","/=1140900082/12790/B04","SCBRAN"
"=1140875506/78910","SCFITT","/=1140900082/12790/B05","SCBRAN"
"=1140875506/98931","SCFITT","/=1140900082/11494/B02","SCBRAN"
"=1140900082/11808","SCFITT","/=1140900082/11801/B01","SCBRAN"
"=1140875506/41150","SCFITT","/=1140875506/41127/B02","SCBRAN"
"=1140875506/41160","SCFITT","/=1140875506/41127/B02","SCBRAN"
"=1140900082/11830","SCFITT","/=1140900082/11821/B01","SCBRAN"
"=1140883698/72854","SCFITT","/=1140883698/72841/B02","SCBRAN"
"=1140875506/35265","SCFITT","/=1140875506/35258/B01","SCBRAN"
"=1140875506/35149","SCFITT","/=1140875506/35120/B02","SCBRAN"
"=1140875506/35155","SCFITT","/=1140875506/35120/B02","SCBRAN"
"=1140883698/30040","SCFITT","/=1140875506/35159/B01","SCBRAN"
"=1140891890/23258","SCFITT","/=1140875506/35120/B04","SCBRAN"
"=1140891890/23268","SCFITT","/=1140875506/35120/B03","SCBRAN"
"=1140883698/28390","SCFITT","/=1140883698/28350/B02","SCBRAN"
"=1140883698/28402","SCFITT","/=1140883698/28350/B02","SCBRAN"
"=1140883698/28417","SCFITT","/=1140883698/28430/B01","SCBRAN"
"=1140883698/72817","SCFITT","/=1140900082/30904/B01","SCBRAN"
"=1140875506/35315","SCFITT","/=1140875506/35308/B01","SCBRAN"
"=1140875506/35463","SCFITT","/=1140875506/35456/B01","SCBRAN"
"=1140875506/35612","SCFITT","/=1140875506/35605/B01","SCBRAN"
"=1140875506/42060","SCFITT","/=1140875506/35479/B02","SCBRAN"
"=1140875506/42066","SCFITT","/=1140875506/35479/B02","SCBRAN"
"=1140875506/35558","SCFITT","=1140867314/254652","SCBRAN"
"=1140891890/48434","SCFITT","/=1140875506/35479/B04","SCBRAN"
"=1140891890/23284","SCFITT","/=1140875506/35479/B03","SCBRAN"
"=1140891890/48519","SCFITT","/=1140891890/19774/B01","SCBRAN"
"=1140867314/207172","SCFITT","/ASBJ-ILINE-0332-0001/B05","SCBRAN"
"=1140875506/35639","SCFITT","/=1140875506/35666/B02","SCBRAN"
"=1140875506/35671","SCFITT","/=1140875506/35258/B01","SCBRAN"
"=1140875506/35720","SCFITT","/=1140900082/30953/B02","SCBRAN"
"=1140891890/48473","SCFITT","/=1140875506/35605/B02","SCBRAN"
