Column1,ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype,,
120,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-2""-DPS-400410-BX1/B01",SCBRAN,,"/ASBH-10""-OCS-380304-BD2/B04"
123,/ASBHA-P-4001,SCEQUI,/ASBHA-P-4001/N2,"/ASBH-2""-DPS-400413-AX1/B01",SCBRAN,,"/ASBH-10""-OCS-380304-BD2/B05"
124,/ASBHA-V-5305,SCEQUI,/ASBHA-V-5305/N1,"/ASBH-36""-WS-534421-AO1/B01",SCBRAN,,"/ASBH-10""-OCS-380304-BD2/B06"
125,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N2,"/ASBH-2""-AI-541046-AS1/B01",SCBRAN,,"/ASBH-2""-OCS-380303-BD1/B01"
126,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N3,"/ASBH-2""-AI-541050-AS1/B01",SCBRAN,,"/ASBH-2""-OCS-380306-BD1/B03"
127,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N2,"/ASBH-2""-AI-541046-AS1/B02",SCBRAN,,"/ASBH-2""-OCS-384068-BD1/B01"
129,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N2,"/ASBH-2""-AU-541056-AS1/B01",SCBRAN,,"/ASBH-2""-OCS-384069-BD1/B01"
131,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N2,"/ASBH-3""-AI-541054-AS1/B01",SCBRAN,,"/ASBH-3""-OCS-380302-BD1/B01"
133,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N3,"/ASBH-2""-AI-541051-AS1/B01",SCBRAN,,"/ASBH-4""-OCS-380301-BD1/B01"
136,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N3,"/ASBH-2""-AI-549140-AS1/B01",SCBRAN,,"/ASBH-8""-OCS-380313-BD2/B01"
137,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N2,"/ASBH-3""-AI-541065-AS1/B01",SCBRAN,,/ASBHA-EP-3804
143,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N3,"/ASBH-2""-AI-541049-AS1/B01",SCBRAN,,"/ASBH-12""-OCS-380504-BD2/B08"
145,/ASBHA-FIL-5413,SCEQUI,/ASBHA-FIL-5413/N3,"/ASBH-0.75""-AI-549139-IT1/B01",SCBRAN,,"/ASBH-14""-OCS-380413-BD2/B01"
151,/ASBHA-P-3511,SCEQUI,/ASBHA-P-3511/N1,"/ASBH-26""-WI-350030-BD1/B01",SCBRAN,,"/ASBH-16""-OCS-380404-BD2/B01"
152,/ASBHA-P-3511,SCEQUI,/ASBHA-P-3511/N2,"/ASBH-20""-WI-350031-BD1/B01",SCBRAN,,"/ASBH-16""-OCS-380404-BD2/B06"
153,/ASBHA-T-3915,SCEQUI,/ASBHA-T-3915/N7,"/ASBH-1""-CY-392195-AH1/B01",SCBRAN,,"/ASBH-2""-OCS-380403-BD1/B01"
154,/ASBHA-T-3915,SCEQUI,/ASBHA-T-3915/N7,"/ASBH-0.5""-CY-392193-AH1/B01",SCBRAN,,"/ASBH-2""-OCS-380406-BD1/B01"
155,/ASBHA-FIL-3528,SCEQUI,/ASBHA-FIL-3528/N2,"/ASBH-14""-CY-355123-AR1/B02",SCBRAN,,"/ASBH-2""-OCS-384070-BD1/B01"
156,/ASBHA-FIL-3528,SCEQUI,/ASBHA-FIL-3528/N2,"/ASBH-14""-CY-355123-AR1/B01",SCBRAN,,"/ASBH-2""-OCS-384071-BD1/B01"
158,/ASBHA-FIL-3528,SCEQUI,/ASBHA-FIL-3528/N1,"/ASBH-14""-CY-355120-AR1/B01",SCBRAN,,"/ASBH-3""-OCS-380402-BD1/B01"
159,/ASBHA-FIL-3528,SCEQUI,/ASBHA-FIL-3528/N1,"/ASBH-14""-CY-355119-AR1/B01",SCBRAN,,"/ASBH-4""-OCS-380401-BD1/B01"
160,/ASBHA-FIL-3528,SCEQUI,/ASBHA-FIL-3528/N1,"/ASBH-14""-CY-355119-AR1/B02",SCBRAN,,/ASBHA-EP-3805
163,/ASBHA-FIL-3528,SCEQUI,/ASBHA-FIL-3528/N1,"/ASBH-14""-CY-355120-AR1/B02",SCBRAN,,"/ASBH-12""-OCS-380504-BD2/B01"
166,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100006-AR1/B01",SCBRAN,,"/ASBH-2""-OCS-380503-BD1/B01"
167,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N1,"/ASBH-3""-WP-100003-AR1/B01",SCBRAN,,"/ASBH-3""-OCS-380502-BD1/B01"
168,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100005-AR1/B01",SCBRAN,,"/ASBH-4""-OCS-380501-BD1/B01"
169,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100007-AR1/B01",SCBRAN,,/ASBHA-EP-3806
170,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100008-AR1/B04",SCBRAN,,"/ASBH-10""-OCS-380604-BD2/B01"
173,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100008-AR1/B05",SCBRAN,,"/ASBH-10""-OCS-380604-BD2/B04"
174,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100008-AR1/B01",SCBRAN,,"/ASBH-10""-OCS-380604-BD2/B05"
177,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100008-AR1/B06",SCBRAN,,"/ASBH-10""-OCS-380604-BD2/B06"
179,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100008-AR1/B07",SCBRAN,,"/ASBH-10""-OCS-380604-BD2/B07"
181,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100016-AR1/B01",SCBRAN,,"/ASBH-10""-OCS-380604-BD2/B08"
183,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-102001-AR1/B02",SCBRAN,,"/ASBH-2""-OCS-380603-BD1/B01"
185,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100008-AR1/B08",SCBRAN,,"/ASBH-2""-OCS-380606-BD1/B01"
189,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100010-AR1/B01",SCBRAN,,"/ASBH-2""-OCS-384074-BD1/B01"
192,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100015-AR1/B01",SCBRAN,,"/ASBH-2""-OCS-384075-BD1/B01"
194,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-101002-AR1/B01",SCBRAN,,"/ASBH-3""-OCS-380602-BD1/B02"
196,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-100017-AR1/B01",SCBRAN,,"/ASBH-4""-OCS-380601-BD1/B01"
198,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-3""-WP-101004-AR1/B01",SCBRAN,,"/ASBH-8""-OCS-380613-BD2/B01"
200,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N2,"/ASBH-2""-WP-101003-AR1/B01",SCBRAN,,/ASBHA-EP-3807
202,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N1,"/ASBH-3""-WP-100002-AR1/B02",SCBRAN,,"/ASBH-16""-GPS-380704-AD5/B01"
203,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N1,"/ASBH-3""-WP-100002-AR1/B01",SCBRAN,,"/ASBH-16""-GPS-380704-AD5/B02"
204,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N1,"/ASBH-3""-WP-100002-AR1/B03",SCBRAN,,"/ASBH-16""-GPS-380704-AD5/B03"
206,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N1,"/ASBH-3""-WP-100002-AR1/B04",SCBRAN,,"/ASBH-16""-GPS-380704-AD5/B04"
208,/ASBHA-P-1002,SCEQUI,/ASBHA-P-1002/N1,"/ASBH-3""-WP-100002-AR1/B05",SCBRAN,,"/ASBH-16""-GPS-380704-AD5/B05"
211,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N3,"/ASBH-4""-OCS-380101-BD1/B01",SCBRAN,,"/ASBH-16""-GPS-380704-AD5/B06"
