"ObjNAME","ObjTYPE","ObjREFERENCE"
"/PFD-ASBJA-PT-421119","SCOINS","/ASBJ-ILINE-0345-0023/B01"
"/PFD-ASBJA-ESD-27G-CB","SCOINS","=1140875506/53455"
"/PFD-ASBJA-TT-421128","SCOINS","/=1140875506/53408/B01"
"/PFD-ASBJA-TT-421128","SCOINS","/ASBJ-ILINE-0345-0022/B01"
"/PFD-ASBJA--408010","SCOINS","/PFD-ASBJA-SDV-801110"
"/PFD-ASBJA--408010","SCOINS","=1140867314/204082"
"/PFD-ASBJA-PDT-411114","SCOINS","=1140867314/203814"
"/PFD-ASBJA-PDT-411114","SCOINS","=1140867314/203808"
"/PFD-ASBJA-PDT-431108","SCOINS","=1140867314/203832"
"/PFD-ASBJA-PDT-431108","SCOINS","=1140867314/203842"
"/PFD-ASBJA-PT-421110","SCOINS","/=1140875506/99149/B01"
"/PFD-ASBJA-PT-421110","SCOINS","/=1140875506/99179/B01"
"/PFD-ASBJA-PDT-421113","SCOINS","/=1140875506/99156/B01"
"/PFD-ASBJA-PDT-421113","SCOINS","/=1140875506/99156/B02"
"/PFD-ASBJA-PDT-421113","SCOINS","/=1140875506/99179/B02"
"/PFD-ASBJA-PT-801146","SCOINS","=1140875506/100471"
"/PFD-ASBJA-PT-801143","SCOINS","/ASBJA-SIG-S-PT-421143-1"
"/ASBJA-SIG-S-PT-421143-1","SCOINS","No refs"
"/PFD-ASBJA-TC-441135","SCOINS","=1140867314/207782"
"/PFD-ASBJA-PT-441608","SCOINS","/ASBJ-ILINE-0346-0001/B01"
"/PFD-ASBJA-PT-441608","SCOINS","=1140867314/207786"
"/PFD-ASBJA-PC-441136","SCOINS","/ASBJ-ILINE-0346-0001/B07"
"/PFD-ASBJA-PC-441136","SCOINS","=1140867314/207784"
"/PFD-ASBJA-PT-441137","SCOINS","/ASBJ-ILINE-0346-0001/B06"
"/PFD-ASBJA-PT-441137","SCOINS","=1140867314/207784"
"/PFD-ASBJA-LC-441106","SCOINS","/ASBJ-ILINE-0346-0001/B05"
"/PFD-ASBJA-LC-441106","SCOINS","/PFD-ASBJA-V-4411"
"/PFD-ASBJA-AT-411212","SCOINS","=1140867314/207656"
"/PFD-ASBJA-TT-411211","SCOINS","/ASBJ-ILINE-0346-0001/B04"
"/PFD-ASBJA-TT-411211","SCOINS","=1140867314/207702"
"/PFD-ASBJA-LC-411203","SCOINS","/ASBJ-ILINE-0346-0001/B03"
"/PFD-ASBJA-LC-411203","SCOINS","/PFD-ASBJA-V-4112"
"/PFD-ASBJA-LC-411106","SCOINS","/ASBJ-ILINE-0346-0001/B02"
"/PFD-ASBJA-LC-411106","SCOINS","/PFD-ASBJA-V-4111"
"/PFD-ASBJA-PT-441123","SCOINS","/=1140867314/207810/B07"
"/PFD-ASBJA-PT-441123","SCOINS","=1140883698/47489"
"/PFD-ASBJA-TT-441120","SCOINS","/=1140867314/207810/B08"
"/PFD-ASBJA-TT-441120","SCOINS","=1140883698/47489"
"/PFD-ASBJA-PT-441117","SCOINS","/=1140867314/207810/B09"
"/PFD-ASBJA-PT-441117","SCOINS","=1140883698/47505"
"/PFD-ASBJA-TT-441114","SCOINS","/=1140867314/207810/B10"
"/PFD-ASBJA-TT-441114","SCOINS","=1140867314/250089"
"/PFD-ASBJA-FT-441113","SCOINS","/=1140867314/207810/B11"
"/PFD-ASBJA-FT-441113","SCOINS","/PFD-ASBJA-FE-441113"
"/PFD-ASBJA-PT-411109","SCOINS","=1140867314/207970"
"/PFD-ASBJA-PT-411109","SCOINS","=1140867314/207700"
"/PFD-ASBJA-PDT-441112","SCOINS","=1140867314/207690"
"/PFD-ASBJA-PDT-441112","SCOINS","=1140867314/207658"
"/PFD-ASBJA-LT-411105","SCOINS","/ASBJ-ILINE-0346-0001/B14"
"/PFD-ASBJA-LT-411105","SCOINS","/PFD-ASBJA-V-4111"
"/PFD-ASBJA-LT-411202","SCOINS","/ASBJ-ILINE-0346-0002/B01"
